"filename", "language", "JavaScript", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\App.js", "JavaScript", 6, 0, 0, 0, 3, 9
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\Routers\AppRouter.js", "JavaScript", 16, 0, 0, 0, 4, 20
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\bootstrap.min.css", "CSS", 0, 0, 2, 10, 0, 12
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\components\Price.js", "JavaScript", 9, 0, 0, 0, 4, 13
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\components\hoc\withLoading.js", "JavaScript", 15, 0, 0, 0, 3, 18
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\components\product\Product.js", "JavaScript", 28, 0, 0, 0, 5, 33
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\components\product\ProductList.js", "JavaScript", 15, 0, 0, 0, 3, 18
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\components\product\ProductListContainer.js", "JavaScript", 23, 0, 0, 1, 6, 30
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\components\ui-layout\Footer.js", "JavaScript", 14, 0, 0, 0, 3, 17
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\components\ui-layout\Header.js", "JavaScript", 30, 0, 0, 0, 3, 33
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\components\ui-layout\Layout.js", "JavaScript", 16, 0, 0, 0, 3, 19
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\components\ui-layout\Loader.js", "JavaScript", 19, 0, 0, 0, 3, 22
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\components\ui-layout\Message.js", "JavaScript", 6, 0, 0, 0, 3, 9
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\index.css", "CSS", 0, 0, 12, 0, 2, 14
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\index.js", "JavaScript", 16, 0, 0, 3, 3, 22
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\products.js", "JavaScript", 113, 0, 0, 0, 5, 118
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\screens\HomeScreen.js", "JavaScript", 11, 0, 0, 0, 3, 14
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\screens\ProductScreen.js", "JavaScript", 69, 0, 0, 0, 4, 73
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\scss\base\_base.scss", "SCSS", 0, 0, 0, 0, 2, 2
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\scss\main.scss", "SCSS", 0, 4, 0, 2, 3, 9
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\scss\vendors\_bootswatch.scss", "SCSS", 0, 304, 0, 10, 66, 380
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\scss\vendors\_variables.scss", "SCSS", 0, 59, 0, 14, 22, 95
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\state\products\productsState.js", "JavaScript", 37, 0, 0, 3, 7, 47
"c:\Users\purei\repos\remeras-tienda\remeras-frontend\src\state\store.js", "JavaScript", 15, 0, 0, 0, 4, 19
"Total", "-", 470, 367, 14, 43, 166, 1060